title,href
Donald Trump | Breaking News & Latest Updates | AP News,https://apnews.com/hub/donald-trump
"June 13, 2023 Trump pleads not guilty in historic federal indictment - CNN",https://www.cnn.com/politics/live-news/donald-trump-indictment-court-appearance-06-13-23/index.html
Trump arraignment live updates: Former president pleads not guilty to ...,https://apnews.com/article/live-updates-trump-indictment-jan-6-investigation-e64fbee9c47b310b1c8edb5265d12b07
Live updates: Court rules Trump does not have immunity from ... - CNN,https://www.cnn.com/politics/live-news/trump-court-ruling-immunity-election-subversion-prosecution/index.html
Live updates: Trump ordered to pay nearly $355 million in civil ... - CNN,https://www.cnn.com/politics/live-news/trump-civil-fraud-trial-decision-02-16-24/index.html
